tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
SZR.ADC1.AI_1;Давление в город;FLOAT (4 bytes);R;ИНР;0;0;;1, 0, , 0, 100, , 
SZR.P1_500;Давление ул. М.Павлова Университетская;FLOAT (4 bytes);R;ИНР;0;0;;0.1, 0, , 0, 10, , 
SZR.ADC1.AI_2;Расход в город;FLOAT (4 bytes);R;ИНР;0;4;;1, 0, , 0, 100, , 
SZR.E1_500;Расход ул. М.Павлова;FLOAT (4 bytes);R;ИНР;0;4;;20, 0, , 0, 2000, , 
SZR.ADC1.AI_3;Давление Контур;FLOAT (4 bytes);R;ИНР;0;8;;1, 0, , 0, 100, , 
SZR.P2_500;Давление ул. Университетская;FLOAT (4 bytes);R;ИНР;0;8;;0.1, 0, , 0, 10, , 
SZR.ADC1.AI_4;Расход Контур;FLOAT (4 bytes);R;ИНР;0;12;;1, 0, , 0, 100, , 
SZR.E2_500;Расход ул. Университетская;FLOAT (4 bytes);R;ИНР;0;12;;20, 0, , 0, 2000, , 
SZR.ADC1.AI_5;Нагрузка ПЧ;FLOAT (4 bytes);R;ИНР;0;16;;1, 0, , 0, 100, , 
SZR.ADC1.AI_6;Нагрузка НА4;FLOAT (4 bytes);R;ИНР;0;20;;1, 0, , 0, 400, , 
SZR.ADC1.AI_7;Давление вход1;FLOAT (4 bytes);R;ИНР;0;24;;1, 0, , 0, 100, , 
SZR.P3_VK;Давление от D-800;FLOAT (4 bytes);R;ИНР;0;24;;0.1, 0, , 0, 10, , 
SZR.ADC1.AI_8;Давление вход2;FLOAT (4 bytes);R;ИНР;0;28;;1, 0, , 0, 100, , 
SZR.P4_VK;Давление от D-1000;FLOAT (4 bytes);R;ИНР;0;28;;0.1, 0, , 0, 10, , 
SZR.ADC1.DO_1;Резерв;BOOL (1 bit);R;ИНР;0;32;&h01;, , , , , , 
SZR.ADC1.DO_2;Резерв;BOOL (1 bit);R;ИНР;0;32;&h02;, , , , , , 
SZR.ADC1.DO_3;Резерв;BOOL (1 bit);R;ИНР;0;32;&h04;, , , , , , 
SZR.ADC1.DO_4;Резерв;BOOL (1 bit);R;ИНР;0;32;&h08;, , , , , , 
SZR.ADC2.AI_1;Нагрузка НА1;FLOAT (4 bytes);R;ИНР;0;40;;1, 0, , 0, 400, , 
SZR.NA1.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;40;;4, 0, , 0, 300, , 
SZR.ADC2.AI_2;Нагрузка НА2;FLOAT (4 bytes);R;ИНР;0;44;;1, 0, , 0, 400, , 
SZR.NA2.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;44;;4, 0, , 0, 300, , 
SZR.ADC2.AI_3;Нагрузка НА3;FLOAT (4 bytes);R;ИНР;0;48;;1, 0, , 0, 400, , 
SZR.NA3.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;48;;4, 0, , 0, 300, , 
SZR.ADC2.AI_4;Нагрузка НА4;FLOAT (4 bytes);R;ИНР;0;52;;1, 0, , 0, 400, , 
SZR.NA4.I;Ток нагрузки;FLOAT (4 bytes);R;ИНР;0;52;;4, 0, , 0, 350, , 
SZR.ADC2.AI_5;ВакВсас1;FLOAT (4 bytes);R;ИНР;0;56;;1, 0, , 0, 100, , 
SZR.ADC2.AI_6;ВакВсас2;FLOAT (4 bytes);R;ИНР;0;60;;1, 0, , 0, 100, , 
SZR.ADC2.AI_7;Резерв2_7;FLOAT (4 bytes);R;ИНР;0;64;;1, 0, , 0, 100, , 
SZR.ADC2.AI_8;Резерв2_8;FLOAT (4 bytes);R;ИНР;0;68;;1, 0, , 0, 100, , 
SZR.ADC2.DO_1;Резерв;BOOL (1 bit);R;ИНР;0;72;&h01;, , , , , , 
SZR.ADC2.DO_2;Резерв;BOOL (1 bit);R;ИНР;0;72;&h02;, , , , , , 
SZR.ADC2.DO_3;Резерв;BOOL (1 bit);R;ИНР;0;72;&h04;, , , , , , 
SZR.ADC2.DO_4;Резерв;BOOL (1 bit);R;ИНР;0;72;&h08;, , , , , , 
SZR.DI1.DI(1-8);Дискр_вход 3а;INT (1 byte);R;ИНР;0;80;;, , , , , , 
SZR.DI1.DI_1;Питание;BOOL (1 bit);R;ИНР;0;80;&h01;, , , , , , 
SZR.DI1.DI_2;Охрана;BOOL (1 bit);R;ИНР;0;80;&h02;, , , , , , 
SZR.DI1.DI_3;Пожар;BOOL (1 bit);R;ИНР;0;80;&h04;, , , , , , 
SZR.DI1.DI_4;Затопление МЗ;BOOL (1 bit);R;ИНР;0;80;&h08;, , , , , , 
SZR.DI1.DI_5;Дренаж1 гот;BOOL (1 bit);R;ИНР;0;80;&h10;, , , , , , 
SZR.DI1.DI_6;Дренаж1 включен;BOOL (1 bit);R;ИНР;0;80;&h20;, , , , , , 
SZR.DI1.DI_7;Дренаж2 гот;BOOL (1 bit);R;ИНР;0;80;&h40;, , , , , , 
SZR.DI1.DI_8;Дренаж2 включен;BOOL (1 bit);R;ИНР;0;80;&h80;, , , , , , 
SZR.DI1.DI(9-16);Дискр_вход 3б;INT (1 byte);R;ИНР;0;81;;, , , , , , 
SZR.DI1.DI_9;Zвх1 откр;BOOL (1 bit);R;ИНР;0;81;&h01;, , , , , , 
SZR.DI1.DI_10;Zвх1 закр;BOOL (1 bit);R;ИНР;0;81;&h02;, , , , , , 
SZR.DI1.DI_11;Zвх2 откр;BOOL (1 bit);R;ИНР;0;81;&h04;, , , , , , 
SZR.DI1.DI_12;Zвх2 закр;BOOL (1 bit);R;ИНР;0;81;&h08;, , , , , , 
SZR.DI1.DI_13;Zвых1 откр;BOOL (1 bit);R;ИНР;0;81;&h10;, , , , , , 
SZR.DI1.DI_14;Zвых1 закр;BOOL (1 bit);R;ИНР;0;81;&h20;, , , , , , 
SZR.DI1.DI_15;Zвых2 откр;BOOL (1 bit);R;ИНР;0;81;&h40;, , , , , , 
SZR.DI1.DI_16;Zвых2 закр;BOOL (1 bit);R;ИНР;0;81;&h80;, , , , , , 
SZR.DI2.DI(1-8);Дискр_вход 4а;INT (1 byte);R;ИНР;0;88;;, , , , , , 
SZR.DI2.DI_1;НА1 вкл;BOOL (1 bit);R;ИНР;0;88;&h01;, , , , , , 
SZR.DI2.DI_2;НА1 гот от сети;BOOL (1 bit);R;ИНР;0;88;&h02;, , , , , , 
SZR.DI2.DI_3;НА1 гот от ПЧ;BOOL (1 bit);R;ИНР;0;88;&h04;, , , , , , 
SZR.DI2.DI_4;НА1 авария;BOOL (1 bit);R;ИНР;0;88;&h08;, , , , , , 
SZR.DI2.DI_5;НА2 вкл;BOOL (1 bit);R;ИНР;0;88;&h10;, , , , , , 
SZR.DI2.DI_6;НА2 гот от сети;BOOL (1 bit);R;ИНР;0;88;&h20;, , , , , , 
SZR.DI2.DI_7;НА2 гот от ПЧ;BOOL (1 bit);R;ИНР;0;88;&h40;, , , , , , 
SZR.DI2.DI_8;НА2 авария;BOOL (1 bit);R;ИНР;0;88;&h80;, , , , , , 
SZR.NA1;Насосный агрегат;BOOL (1 bit);R;ИНР;0;88;&h01;, , , , , , 
SZR.NA1.B;Всасывающая задвижка;BOOL (1 bit);R;ИНР;0;88;&h01;, , , , , , 
SZR.NA1.H;Напорная задвижка;BOOL (1 bit);R;ИНР;0;88;&h01;, , , , , , 
SZR.NA2;Насосный агрегат;BOOL (1 bit);R;ИНР;0;88;&h10;, , , , , , 
SZR.NA2.B;Всасывающая задвижка;BOOL (1 bit);R;ИНР;0;88;&h10;, , , , , , 
SZR.NA2.H;Напорная задвижка;BOOL (1 bit);R;ИНР;0;88;&h10;, , , , , , 
SZR.DI2.DI(9-16);Дискр_вход 4б;INT (1 byte);R;ИНР;0;89;;, , , , , , 
SZR.DI2.DI_9;НА3 вкл;BOOL (1 bit);R;ИНР;0;89;&h01;, , , , , , 
SZR.DI2.DI_10;НА3 гот от сети;BOOL (1 bit);R;ИНР;0;89;&h02;, , , , , , 
SZR.DI2.DI_11;НА3 гот от ПЧ;BOOL (1 bit);R;ИНР;0;89;&h04;, , , , , , 
SZR.DI2.DI_12;НА3 авария;BOOL (1 bit);R;ИНР;0;89;&h08;, , , , , , 
SZR.DI2.DI_13;НА4 вкл;BOOL (1 bit);R;ИНР;0;89;&h10;, , , , , , 
SZR.DI2.DI_14;НА4 гот от сети;BOOL (1 bit);R;ИНР;0;89;&h20;, , , , , , 
SZR.DI2.DI_15;НА4 гот от ПЧ;BOOL (1 bit);R;ИНР;0;89;&h40;, , , , , , 
